review,Reviewer_Score,sentiment,review_length,clean_review
 My room was exceptional Quality breakfasts Excellent WIFI Thoughtful and attentive staff I loved the location and would book again in a moment I felt part of history and pampered I couldn t have enjoyed my stay more   The street is quiet for the neighbourhood but Soho does have a nightlife If you are a light sleeper ask for a quiet room I slept just fine ,9.6,1,358,room except qualiti breakfast excel wifi thought attent staff love locat would book moment felt part histori pamper enjoy stay street quiet neighbourhood soho nightlif light sleeper ask quiet room slept fine
 Good location with great view over the river from bar and restaurant Useful valet parking Contemporary stylish hotel with polite helpful friendly staff   Construction site next door meant it was a bit noisy in our room first thing Railway close by too so added noise but not unbearable ,8.8,1,287,good locat great view river bar restaur use valet park contemporari stylish hotel polit help friendli staff construct site next door meant bit noisi room first thing railway close ad nois unbear
 Friendliness and helpfulness of staff in all areas of the hotel   Shower a little tired now The shower curtain didn t prevent the water from running out of the bath and all over the floor ,9.2,1,189,friendli help staff area hotel shower littl tire shower curtain prevent water run bath floor
 The hotel is pretty from the outside and quaintly old fashioned inside Previous reviewers have complained about its dated ambience but we found this charming The room was big had all we needed and was despite being on a busy road very quiet The breakfast room evokes a different age and we were perfectly satisfied with the food   The reception staff are somewhat dour and could hone their people skills such as smiling once in a while ,8.8,1,437,hotel pretti outsid quaintli old fashion insid previou review complain date ambienc found charm room big need despit busi road quiet breakfast room evok differ age perfectli satisfi food recept staff somewhat dour could hone peopl skill smile
 The room size  Bad Storm could not get back to Hotel trams stopped trees on power lines,6.7,0,88,room size bad storm could get back hotel tram stop tree power line
 Very friendly welcome Worth while upgrading to the executive club Beer wine and nibbles from 5 8 each evening and no queue for breakfast like the main restaurant  No Negative,7.9,1,175,friendli welcom worth upgrad execut club beer wine nibbl even queue breakfast like main restaur neg
 IT IS A GOOD HOTEL NEAR THE calso of the vienne but too far away from the centre of the vienne it is why we just book one night there when we visite the calso thanks regards danielle No Negative,7.5,1,195,good hotel near calso vienn far away centr vienn book one night visit calso thank regard daniel neg
 Gym was awesome   Room is a little too minimalistic for my taste but overall was fine There was kind of a weird smell in my room like the carpet was recently shampooed with something strong ,9.2,1,191,gym awesom room littl minimalist tast overal fine kind weird smell room like carpet recent shampoo someth strong
 Beautiful hotel in great location with wonderful staff  Pillows are a bit too soft but bed is awesome ,10.0,1,103,beauti hotel great locat wonder staff pillow bit soft bed awesom
 Location staff support view room size welcoming my kids in the same room  All are excellent,9.6,1,92,locat staff support view room size welcom kid room excel
 Excellent location 10 min walking from catalonya plaza 2 min to metro Very helpful staff Amazing room theme  Nothing,10.0,1,117,excel locat min walk catalonya plaza min metro help staff amaz room theme noth
 Breakfast  The room was tiny no bigger than a box room in a terraced house bed was pushed up against 2 walls my wife and I couldn t get changed at the same time because the room didn t have enough space to allow us to ,4.2,0,219,breakfast room tini bigger box room terrac hous bed push wall wife get chang time room enough space allow us
 Great lcoation Great facilities Fantastic price for London No Negative,9.6,1,71,great lcoation great facil fantast price london neg
 perfect location near all means of public transport friendly staff the hotel offers tea coffee and cake in the afternoon the rooms were provided with tablets the sheets and toilette were very clean No Negative,9.2,1,210,perfect locat near mean public transport friendli staff hotel offer tea coffe cake afternoon room provid tablet sheet toilett clean neg
No Positive  WiFi and air conditioning never worked properly Had to change room 3 times in 3 days First day arrived at 7pm made us wait for the room and the put us in a room that when you open the window you realized you were inside a warehouse with boxes ,3.3,0,256,posit wifi air condit never work properli chang room time day first day arriv pm made us wait room put us room open window realiz insid warehous box
 Victorian style own pub with a nice fireplace super friendly relaxed room s interior cool recommended room Kind Hearts Coronets Ealing is close to the city but a wonderfully clich brickstone suburb No Negative,10.0,1,210,victorian style pub nice fireplac super friendli relax room interior cool recommend room kind heart coronet eal close citi wonder clich brickston suburb neg
 We were upgraded to the Deluxe 2 Bedroom Apartment right on the Prinsengracht canal The view was amazing It was beautifully decorated immaculately clean and in the perfect location The Hotel Vondel staff were never more than a phone call away and helped out on more than one occasion with a taxi and other random questions we had I would definitely stay here again and hope to do so in the near future  No Negative,10.0,1,415,upgrad delux bedroom apart right prinsengracht canal view amaz beauti decor immacul clean perfect locat hotel vondel staff never phone call away help one occas taxi random question would definit stay hope near futur neg
 The stuff is extremely kind and helpful They organize everything you ask them to transfer tours diners Hotel has great location close to the main city square but away from the city noice Very clean hotel The food is wonderful they even have vegetarian menu They made our stay magical  No Negative,9.2,1,297,stuff extrem kind help organ everyth ask transfer tour diner hotel great locat close main citi squar away citi noic clean hotel food wonder even vegetarian menu made stay magic neg
 Excellent bathroom and bed  No view of sunlight from the bedroom as it looked in a well and faced other rooms which meant no privacy Also a long walk around the hallways to get to the room,7.5,1,189,excel bathroom bed view sunlight bedroom look well face room meant privaci also long walk around hallway get room
 Rooms are stylish and spacious and the bathrooms are superb The reception area is pleasant and staff are friendly   Room service menu is somewhat limited and quite costly The excellent bar has a poor selection of beers and Scotch whiskies this should be simple to fix The cost of drinks in the bar is higher than usual for hotels in this range ,8.8,1,345,room stylish spaciou bathroom superb recept area pleasant staff friendli room servic menu somewhat limit quit costli excel bar poor select beer scotch whiski simpl fix cost drink bar higher usual hotel rang
 Beds comfy lovely shower and very clean  Very dark everywhere rooms corridors Felt that 2 slices of toast and a coffee for 10 overpriced even by London standards No bar and not allowed to eat or drink outside in terraced area even though pretty secluded ,7.1,1,255,bed comfi love shower clean dark everywher room corridor felt slice toast coffe overpr even london standard bar allow eat drink outsid terrac area even though pretti seclud
 24h access to the gym Good overall value for this area of London   A new member of staff in the restaurant Even though I told her that I hadn t prepaid for breakfast but that I had pre authorised funds for payment on my room number I asked her to bill my breakfast to my room She later stopped me leaving the restaurant and told me I had to pay Very embarrassing as I had earlier told her to bill it to my room Which she then proceeded to do The same member of staff served me the evening before in the bar She couldn t work the till and then gave me the wrong change too much Thankfully Rugby fans are generally honest folk ,8.8,1,626,h access gym good overal valu area london new member staff restaur even though told prepaid breakfast pre authoris fund payment room number ask bill breakfast room later stop leav restaur told pay embarrass earlier told bill room proceed member staff serv even bar work till gave wrong chang much thank rugbi fan gener honest folk
 Staff were very friendly helpful  The hallways were a little shabby but the hotel is clearly going through refurbishment so I m sure this shall be addressed soon,8.8,1,162,staff friendli help hallway littl shabbi hotel clearli go refurbish sure shall address soon
 Friendly and helpful staff and absolutely amazing localisation in heart of the city  Hotel need some renovation ,9.2,1,113,friendli help staff absolut amaz localis heart citi hotel need renov
 It was so clean and bright very comfortable   Little bit further out of the city centre but there s an underground station about 5 mins away and you can catch a hop on hop off bus right outside the hotel,9.2,1,204,clean bright comfort littl bit citi centr underground station min away catch hop hop bu right outsid hotel
 No one thing everything was fine Our second visit and feel sure there will be a third  No Negative,10.0,1,99,one thing everyth fine second visit feel sure third neg
 The size of the room compared to other london hotels And the location and friednly staff   The room was old and the pictures i saw online for the room was completly different to reality ,7.5,1,187,size room compar london hotel locat friednli staff room old pictur saw onlin room completli differ realiti
 Breakfast  Parking was expensive ,8.3,1,34,breakfast park expens
 Very friendly staff bedroom very clean and modern furnishing Lovely breakfast  It was a shame that the bar area was being refurbished at the time of our stay,8.8,1,158,friendli staff bedroom clean modern furnish love breakfast shame bar area refurbish time stay
 lovely cafe friendly staff great location  Gym small currently some building works outside property,7.5,1,100,love cafe friendli staff great locat gym small current build work outsid properti
 There dry cleaning service was excellent  The breakfast was not as varied as I hoped,9.2,1,85,dri clean servic excel breakfast vari hope
 Very helpful and friendly staff especially the barman Outside terrace excellent facility   Breakfast provision fine though hot drinks a bit hard work Ok for evening meal but not great Not much atmosphere ,9.6,1,205,help friendli staff especi barman outsid terrac excel facil breakfast provis fine though hot drink bit hard work ok even meal great much atmospher
 Staff  Decor,9.6,1,13,staff decor
 Very nice No Negative,10.0,1,22,nice neg
 Room was clean   Wordings of minutes from Tube station was deceiving Lodge was located much further took a half hour walk each way Few buses run through the area hence was really inconvenient Pricey for that location and facilities Early check in was promised when requested on Bookin com but asked to pay extra when we arrived Very dishonest we felt So was overall an unpleasant experience ,4.2,0,392,room clean word minut tube station deceiv lodg locat much took half hour walk way buse run area henc realli inconveni pricey locat facil earli check promis request bookin com ask pay extra arriv dishonest felt overal unpleas experi
 Clean efficient well located hotel Pleasant staff Good concierge service  No Negative,8.3,1,86,clean effici well locat hotel pleasant staff good concierg servic neg
 Location  Staff could have been better long check out lines waueted ages on tea coffee at breakfast on day 1 entrance way was dirty,6.7,0,132,locat staff could better long check line wauet age tea coffe breakfast day entranc way dirti
 Convenient location courteous and helpful staff comfortable and clean facilities would recommend and would eturn  No Negative,10.0,1,126,conveni locat courteou help staff comfort clean facil would recommend would eturn neg
 quiet clean friendly staff No Negative,10.0,1,39,quiet clean friendli staff neg
 The breakfast buffet was really nice which includes an espresso machine Location wise was fantastic since it s right next to the Wien Mitte Landstrasse train subway station Shops were within walking distance Would definitely stay here next time   Wi fi could ve been made complimentary since it was too slow for 10 Euros ,10.0,1,322,breakfast buffet realli nice includ espresso machin locat wise fantast sinc right next wien mitt landstrass train subway station shop within walk distanc would definit stay next time wi fi could made complimentari sinc slow euro
 The rooms were big bathroom was huge staff were helpful even though we booked 5 mins before arriving they informed me I had accidentally booked a twin room instead of a double for my husband and I but 2 seconds in his computer and he found a double for us Absolutely superb service Good breakfast Great location Close to train station and 3 min walk to train station Would definitely go back again  No Negative,9.6,1,411,room big bathroom huge staff help even though book min arriv inform accident book twin room instead doubl husband second comput found doubl us absolut superb servic good breakfast great locat close train station min walk train station would definit go back neg
 The view was amazing  No Negative,9.6,1,34,view amaz neg
 The staff were fabulous and so handy to all services  No Negative,10.0,1,66,staff fabul handi servic neg
 The view compansate all the flaws  Defenetely need a refurbishment ,7.1,1,68,view compans flaw defenet need refurbish
 Hotel building is wonderful Very nice Room Bar superb Best breakfast posible Room Service perfect Location next to Passeig de Gracia and Rambla catalunya could not be better  No Negative,9.6,1,187,hotel build wonder nice room bar superb best breakfast posibl room servic perfect locat next passeig de gracia rambla catalunya could better neg
 We had such a great experience here The staff was so welcoming and accommodating to us My husband and I were traveling with our nine month old and they were really wonderful in accomedating the baby One day they even surprised us with a teddy bear and personalized note for her Another thing we appreciated was the staff keeping us informed on the current happenings of the city There was a taxi strike the day we were leaving and they told us about it the day before so we could be properly prepared When we got to the airport shuttle line which was very long due to the no taxis there were many people who didn t know about the strike and missed their flights We were very happy that they provided us with this information   Due to the location and it being a very touristy area we had heard that pickpocketing was very common in that area We didn t experience this ourselves however ,10.0,1,887,great experi staff welcom accommod us husband travel nine month old realli wonder accomed babi one day even surpris us teddi bear person note anoth thing appreci staff keep us inform current happen citi taxi strike day leav told us day could properli prepar got airport shuttl line long due taxi mani peopl know strike miss flight happi provid us inform due locat touristi area heard pickpocket common area experi howev
 Great location  Bed a bit hard for us,10.0,1,38,great locat bed bit hard us
No Positive  We booked 2 superior rooms and one double There were 4 adults and 3 teenagers Upon arrival we were told that the rooms were not made up for families and had to wait whilst they put extra beds in 2 of the rooms One room was large enough for this but the other was a standard double and the additional bed made it rather cramped We were informed that this always happens with bookings made on Booking com,7.5,1,415,posit book superior room one doubl adult teenag upon arriv told room made famili wait whilst put extra bed room one room larg enough standard doubl addit bed made rather cramp inform alway happen book made book com
 Excellent stay loved it Can t wait to come back A   Nothing,10.0,1,60,excel stay love wait come back noth
No Positive  Long wait for check in arrived at 6 30pm and gained entry at 9pm,6.3,0,77,posit long wait check arriv pm gain entri pm
 The views from the Sky Lounge were amazing   Check in seemed unnecessarily time consuming leading to queues Took 25 mins between arriving at hotel and getting to room ,8.8,1,168,view sky loung amaz check seem unnecessarili time consum lead queue took min arriv hotel get room
 Location is great next to railway and metro links Very generous continental breakfast and comfortable room   Room quite small at front of hotel and at times quite noisey ,9.6,1,171,locat great next railway metro link gener continent breakfast comfort room room quit small front hotel time quit noisey
 Free coffee if wanted during breakfast without eating the large buffet Inner garden Blue lights in our hall Friendly staff Newer room Great shower Comp bikes though we didn t use them No time So close to the market  No Negative,7.9,1,228,free coffe want breakfast without eat larg buffet inner garden blue light hall friendli staff newer room great shower comp bike though use time close market neg
 Beds were really comfy and hotel was spotless No Negative,9.2,1,58,bed realli comfi hotel spotless neg
 Clean was really spacious and lovely room  Only one person was at the reception had to wait around 8 11mins to be spoken to location is the middle of a dual carriage ,7.5,1,167,clean realli spaciou love room one person recept wait around min spoken locat middl dual carriag
 Location accommodation and breakfast all excellent Check in and check out very efficient Very pleasant lounge and foyer area   9 50 for a Bailey s seems a little pricey ,9.6,1,170,locat accommod breakfast excel check check effici pleasant loung foyer area bailey seem littl pricey
 Easy to reach from and to airport by metro with few minutes from Lesseps station walk to hotel Also it s close to Guadi s Park Guell famous tourist spot Staff is very nice and hotel is very facilite   Semi transparent wall of bathroom It cause uncomfortable when you travel with friends,7.9,1,287,easi reach airport metro minut lessep station walk hotel also close guadi park guell famou tourist spot staff nice hotel facilit semi transpar wall bathroom caus uncomfort travel friend
 Location is excellent to shopping dining plays Tube etc The use of the driver was wonderful Do not always have this at other Four Seasons Great benefit   This Four Seasons does NOT compare to the other Four Seasons we ve stayed at It s almost like it s a lower end franchise of the real Four Seasons Furnishings and overall accommodations and services are well below par as compared to other Four Seasons ,6.7,0,406,locat excel shop dine play tube etc use driver wonder alway four season great benefit four season compar four season stay almost like lower end franchis real four season furnish overal accommod servic well par compar four season
 Amazing hotel free upgraded room   I would have loved to have a room facing the Eiffel tower,10.0,1,93,amaz hotel free upgrad room would love room face eiffel tower
 Size of the business room was really good Tube station and Oxford street are near Very quite regardless of the busy location The express check out service was really good   The lobby is kind of small and the reception counter is always busy ,8.8,1,242,size busi room realli good tube station oxford street near quit regardless busi locat express check servic realli good lobbi kind small recept counter alway busi
 Really comfortable bed The staff especially the concierge are very friendly and knowledgeable about the local area The gym is excellent  No Negative,9.2,1,149,realli comfort bed staff especi concierg friendli knowledg local area gym excel neg
 Great atmoshpere and location Average staff   Basement room is totally affected by the smells of the surroundings ktichens and services located in the building ,7.1,1,161,great atmoshper locat averag staff basement room total affect smell surround ktichen servic locat build
 Le style est tr s agr able  Laundry is very expensive and wifi is not free,8.8,1,75,le style est tr agr abl laundri expens wifi free
 Very welcoming and helpful on arrival   Nothing not to like ,9.6,1,61,welcom help arriv noth like
 Decor  Small rooms,9.6,1,19,decor small room
 The bed was amazing really comfortable and made me not want to get up the staff were very friendly and nothing was to much they even gave a free upgrade as I was going to propose to my girlfriend Loved every minute of our stay  No Negative,10.0,1,240,bed amaz realli comfort made want get staff friendli noth much even gave free upgrad go propos girlfriend love everi minut stay neg
 The breakfast was excellent superb choices The bed was very comfortable and we had a choice of pillows   The size of the swimming pool it was more of a plunge pool ,8.8,1,165,breakfast excel superb choic bed comfort choic pillow size swim pool plung pool
 Staff were extremely welcoming especially the gentleman at the door steps into the hotel Always smiling Staff overall were extremely helpful  No Negative,8.8,1,154,staff extrem welcom especi gentleman door step hotel alway smile staff overal extrem help neg
 Free wifi  Rude staff on arrival Our room was not ready on arrival at 8pm even though we were able to check in from 3pm ,5.4,0,121,free wifi rude staff arriv room readi arriv pm even though abl check pm
 The ambience was very good No Negative,7.5,1,39,ambienc good neg
 Location breakfast structure No Negative,10.0,1,41,locat breakfast structur neg
 Excellent location nice rooms great breakfast buffet helpful personnel   Air conditioning in the room is not powerful enough and the room gets very hot during a hot day over 25 C ,9.2,1,180,excel locat nice room great breakfast buffet help personnel air condit room power enough room get hot hot day c
 Pleasant modern hotel ideally situated for City centre Friendly helpful staff Good tasty freshly prepared breakfast Excellent facilities   Cleaners perhaps need to pay a little more attention to detail,9.6,1,202,pleasant modern hotel ideal situat citi centr friendli help staff good tasti freshli prepar breakfast excel facil cleaner perhap need pay littl attent detail
 Location staff cleanliness breakfast and many more  The bed lost its firmness in the middle a new one makes this room perfect ,8.8,1,127,locat staff cleanli breakfast mani bed lost firm middl new one make room perfect
 The hotel the staff and location are fantastic Quiet gracious room I felt very safe at this hotel I am glad that I spent my holiday here  No Negative,10.0,1,150,hotel staff locat fantast quiet graciou room felt safe hotel glad spent holiday neg
 The linens were lovely The rooms are very tiny but the staff is great and the breakfast was delightful   Wish the rooms were not so tiny ,9.2,1,138,linen love room tini staff great breakfast delight wish room tini
 Very clean and amazing modern design   15 mins walk to the nearest metro,7.5,1,73,clean amaz modern design min walk nearest metro
 Value for money  Same breakfast everyday,9.6,1,41,valu money breakfast everyday
No Positive  Bathroom washbasin was very poor condition compared to bedroom and rest of bathroom,9.2,1,96,posit bathroom washbasin poor condit compar bedroom rest bathroom
 Pool it was fabulous and the clean fragrance smell as walk into the hotel   Nothing,10.0,1,84,pool fabul clean fragranc smell walk hotel noth
 We had a fantastic stay at this beautiful hotel The staff could not do enough for you Stunning inside beautiful room Will definitely return No Negative,10.0,1,152,fantast stay beauti hotel staff could enough stun insid beauti room definit return neg
 Fabulous ad swift check in great staff and great customer service and wow what a view   Loved it all,9.6,1,101,fabul ad swift check great staff great custom servic wow view love
 Location was exactly next to the Ziggo Dome and like 50 meters from the Amsterdam ArenA After the concert they cleaned for half an hour but we had no problems with any noise It was a real modern looking hotel A large hotel with a great view from the 10th floor Very comfortable beds and good breakfast   No Scrambled Eggs or Bacon at breakfast ,10.0,1,345,locat exactli next ziggo dome like meter amsterdam arena concert clean half hour problem nois real modern look hotel larg hotel great view th floor comfort bed good breakfast scrambl egg bacon breakfast
 Breakfast is okay  Outdated hotel and rooms not all personnel speaks English fluently Once my room smell like cigarettes after cleaning,4.6,0,136,breakfast okay outdat hotel room personnel speak english fluentli room smell like cigarett clean
 Came to spend the night here for my partners birthday I had contacted the hotel prior to our stay to see if they could decorate the room upon arrival which they did They sent a beautiful complimentary birthday cake to the room and decorated the bed with rose petals and a helium birthday balloon It was so amazing and really made my partner s day special Also breakfast was served to is in our bedroom in the morning and I cant even find words to explain how amazing breakfast was How it was all laid out on a table with everything we asked Service was amazing They helped with our luggage checking in and checking out Couldn t have asked for a better stay   I couldn t find the hotel using my sat nav If i typed the postcode i ended up somewhere else close by but no outside the hotel Took us a while to find the hotel ,9.6,1,821,came spend night partner birthday contact hotel prior stay see could decor room upon arriv sent beauti complimentari birthday cake room decor bed rose petal helium birthday balloon amaz realli made partner day special also breakfast serv bedroom morn cant even find word explain amaz breakfast laid tabl everyth ask servic amaz help luggag check check ask better stay find hotel use sat nav type postcod end somewher els close outsid hotel took us find hotel
 all staff extremely friendly and helpful   felt a bit pressurised by housekeepers to vacate by 11 Sunday ,8.8,1,106,staff extrem friendli help felt bit pressuris housekeep vacat sunday
 Cleanliness and lovely breakfast staff friendly No Negative,10.0,1,60,cleanli love breakfast staff friendli neg
 Great staff  More electrical outlets and a mirror around one of the outlets eg for use with the hairdryer,8.8,1,106,great staff electr outlet mirror around one outlet eg use hairdryer
No Positive  The hotel is situated at a place very close to the train station but very unsafe because my purse containing all my belongings 4 passports all cash 2500 euros 1600 swiss francs 1000 aed 4 emirates I D s credit card camera watch iphone etc was stolen within seconds when I was talking to the receptionist in the hotel lobby at the time of checkout The hotel personnel refused to take any credibility refused to show the cctv footage tried to tear the police report on the pretext of taking photocopies for us I still have the torn copies even telling the indian consulate that this did not happen in the hotel I am pretty sure that the hotel staff is in collusion with the thieves as the receptionist saw what was happening as there was no else around me at that time It was a terrible experience and I do not want anyone else facing the same Please be very careful staying in this hotel ,4.6,0,900,posit hotel situat place close train station unsaf purs contain belong passport cash euro swiss franc a emir credit card camera watch iphon etc stolen within second talk receptionist hotel lobbi time checkout hotel personnel refus take credibl refus show cctv footag tri tear polic report pretext take photocopi us still torn copi even tell indian consul happen hotel pretti sure hotel staff collus thiev receptionist saw happen els around time terribl experi want anyon els face pleas care stay hotel
 The location is good  The reception clerks English was too Bad to understand My room was bed only I was asked if I want breakfast so I said tomorrow yes the day after I l see so I was asked for my credit card and was informed that they want a 30 pound deposit and when I leave I will get Mack any money still due This never happened to me in any hotel in the world Especially as I showed my Priotity holiday card When I asked for a newspaper I was told tha I can only get the independent free any other I will be charged The room was small and there was no easy chair so I could relax I spoke to the duty manager and complained He promised to give me better service when I return This I m writing to you for your sake and others that will come here ,5.8,0,750,locat good recept clerk english bad understand room bed ask want breakfast said tomorrow ye day l see ask credit card inform want pound deposit leav get mack money still due never happen hotel world especi show priotiti holiday card ask newspap told tha get independ free charg room small easi chair could relax spoke duti manag complain promis give better servic return write sake other come
